81774,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x37, 0xC8, 0x00, 0x00, 0x00
82083,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x71, 0xC8, 0x00, 0x00, 0x00

82093,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6E, 0xC8, 0x00, 0x00, 0x00

82103,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x7D, 0xC8, 0x00, 0x00, 0x00

82113,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x81, 0xC8, 0x00, 0x00, 0x00

82123,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x8D, 0xC8, 0x00, 0x00, 0x00

82133,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x8E, 0xC8, 0x00, 0x00, 0x00

82135,0x351,false,8, 0x90, 0x0F, 0xDC, 0x05, 0xB8, 0x0B, 0x00, 0x0C

82135,0x355,false,8, 0x60, 0x00, 0x64, 0x00, 0xC0, 0x03, 0x00, 0x00

82135,0x356,false,8, 0x40, 0x0F, 0xFD, 0xFF, 0xAE, 0x00, 0x00, 0x00

82137,0x35A,false,8, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

82137,0x35E,false,8, 0x53, 0x49, 0x4D, 0x50, 0x20, 0x42, 0x4D, 0x53

82139,0x370,false,8, 0x53, 0x49, 0x4D, 0x50, 0x20, 0x45, 0x43, 0x4F

82141,0x373,false,8, 0xE1, 0x0F, 0xE6, 0x0F, 0x22, 0x01, 0x23, 0x01

82143,0x379,false,8, 0xDC, 0x00, 0x06, 0x07, 0x01, 0x00, 0x00, 0x00

82143,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x9C, 0xC8, 0x00, 0x00, 0x00

82145,0x372,false,8, 0x10, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

82153,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x95, 0xC8, 0x00, 0x00, 0x00

82163,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x92, 0xC8, 0x00, 0x00, 0x00



82164

Chargers connected

 ID 1 Found 



s - Menu







82168,0x304,false,8, 0x01, 0x16, 0xF1, 0xE2, 0xD3, 0xC4, 0xB5, 0xA6

82173,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x87, 0xC8, 0x00, 0x00, 0x00

82183,0x2FF,false,7, 0x01, 0xE8, 0x03, 0x90, 0x0F, 0xDC, 0x05

82183,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x95, 0xC8, 0x00, 0x00, 0x00

82189,0x305,false,8, 0x01, 0x04, 0x00, 0x00, 0x00, 0x6D, 0x0F, 0x32

82193,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x8E, 0xC8, 0x00, 0x00, 0x00

82199,0x306,false,7, 0x0F, 0x14, 0xEA, 0x00, 0xF4, 0x0B, 0xC8

82203,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x86, 0xC8, 0x00, 0x00, 0x00

82209,0x307,false,3, 0x00, 0x00, 0x00

82213,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x7F, 0xC8, 0x00, 0x00, 0x00

82223,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x76, 0xC8, 0x00, 0x00, 0x00

82233,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x76, 0xC8, 0x00, 0x00, 0x00

82243,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82253,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x69, 0xC8, 0x00, 0x00, 0x00

82263,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x60, 0xC8, 0x00, 0x00, 0x00

82273,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x68, 0xC8, 0x00, 0x00, 0x00

82283,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82293,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x62, 0xC8, 0x00, 0x00, 0x00

82303,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x59, 0xC8, 0x00, 0x00, 0x00

82313,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82323,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5C, 0xC8, 0x00, 0x00, 0x00

82333,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5C, 0xC8, 0x00, 0x00, 0x00

82343,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x60, 0xC8, 0x00, 0x00, 0x00

82353,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

82363,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x58, 0xC8, 0x00, 0x00, 0x00

82373,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5C, 0xC8, 0x00, 0x00, 0x00

82376,0x307,false,3, 0x00, 0x00, 0x02

82383,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x69, 0xC8, 0x00, 0x00, 0x00

82393,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82403,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5D, 0xC8, 0x00, 0x00, 0x00

82413,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x65, 0xC8, 0x00, 0x00, 0x00

82423,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5B, 0xC8, 0x00, 0x00, 0x00

82433,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4A, 0xC8, 0x00, 0x00, 0x00

82443,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4B, 0xC8, 0x00, 0x00, 0x00

82453,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x40, 0xC8, 0x00, 0x00, 0x00

82463,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3E, 0xC8, 0x00, 0x00, 0x00

82473,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x40, 0xC8, 0x00, 0x00, 0x00

82483,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x35, 0xC8, 0x00, 0x00, 0x00

82493,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x34, 0xC8, 0x00, 0x00, 0x00

82503,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3A, 0xC8, 0x00, 0x00, 0x00

82513,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x38, 0xC8, 0x00, 0x00, 0x00

82523,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x34, 0xC8, 0x00, 0x00, 0x00

82533,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3C, 0xC8, 0x00, 0x00, 0x00

82543,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3F, 0xC8, 0x00, 0x00, 0x00

82553,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x47, 0xC8, 0x00, 0x00, 0x00

82563,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4C, 0xC8, 0x00, 0x00, 0x00

82573,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x52, 0xC8, 0x00, 0x00, 0x00

82583,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x55, 0xC8, 0x00, 0x00, 0x00

82593,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5F, 0xC8, 0x00, 0x00, 0x00

82603,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x60, 0xC8, 0x00, 0x00, 0x00

82613,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

82623,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x60, 0xC8, 0x00, 0x00, 0x00

82633,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x62, 0xC8, 0x00, 0x00, 0x00

82643,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

82653,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82663,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5B, 0xC8, 0x00, 0x00, 0x00



82665

Chargers connected

 ID 1 Found 



s - Menu







82667,0x304,false,8, 0x01, 0x16, 0xF1, 0xE2, 0xD3, 0xC4, 0xB5, 0xA6

82673,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

82683,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5F, 0xC8, 0x00, 0x00, 0x00

82693,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x62, 0xC8, 0x00, 0x00, 0x00

82703,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

82713,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5E, 0xC8, 0x00, 0x00, 0x00

82723,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x69, 0xC8, 0x00, 0x00, 0x00

82733,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

82743,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82753,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

82763,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

82773,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5F, 0xC8, 0x00, 0x00, 0x00

82783,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

82793,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82803,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x60, 0xC8, 0x00, 0x00, 0x00

82813,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5D, 0xC8, 0x00, 0x00, 0x00

82823,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5F, 0xC8, 0x00, 0x00, 0x00

82833,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

82843,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

82848,0x351,false,8, 0x90, 0x0F, 0xDC, 0x05, 0xB8, 0x0B, 0x00, 0x0C

82848,0x355,false,8, 0x60, 0x00, 0x64, 0x00, 0xC0, 0x03, 0x00, 0x00

82848,0x356,false,8, 0x40, 0x0F, 0xFD, 0xFF, 0xAE, 0x00, 0x00, 0x00

82850,0x35A,false,8, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

82851,0x35E,false,8, 0x53, 0x49, 0x4D, 0x50, 0x20, 0x42, 0x4D, 0x53

82852,0x370,false,8, 0x53, 0x49, 0x4D, 0x50, 0x20, 0x45, 0x43, 0x4F

82853,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x65, 0xC8, 0x00, 0x00, 0x00

82854,0x373,false,8, 0xE1, 0x0F, 0xE7, 0x0F, 0x22, 0x01, 0x23, 0x01

82856,0x379,false,8, 0xDC, 0x00, 0x06, 0x07, 0x01, 0x00, 0x00, 0x00

82858,0x372,false,8, 0x10, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00

82863,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

82873,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

82883,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x68, 0xC8, 0x00, 0x00, 0x00

82893,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

82896,0x2FF,false,7, 0x01, 0xE8, 0x03, 0x90, 0x0F, 0xDC, 0x05

82903,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

82906,0x305,false,8, 0x01, 0x04, 0x00, 0x00, 0x00, 0x6D, 0x0F, 0x32

82913,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x68, 0xC8, 0x00, 0x00, 0x00

82916,0x306,false,7, 0x0F, 0x14, 0xEA, 0x00, 0xF4, 0x0B, 0xC8

82923,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x65, 0xC8, 0x00, 0x00, 0x00

82927,0x307,false,3, 0x00, 0x00, 0x00

82933,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x62, 0xC8, 0x00, 0x00, 0x00

82943,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

82953,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x65, 0xC8, 0x00, 0x00, 0x00

82963,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82973,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

82983,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

82993,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

83003,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

83013,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6B, 0xC8, 0x00, 0x00, 0x00

83023,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

83033,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x66, 0xC8, 0x00, 0x00, 0x00

83043,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

83053,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x62, 0xC8, 0x00, 0x00, 0x00

83063,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x65, 0xC8, 0x00, 0x00, 0x00

83073,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x67, 0xC8, 0x00, 0x00, 0x00

83083,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x65, 0xC8, 0x00, 0x00, 0x00

83093,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

83093,0x307,false,3, 0x00, 0x00, 0x02

83103,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x68, 0xC8, 0x00, 0x00, 0x00

83113,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x64, 0xC8, 0x00, 0x00, 0x00

83123,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

83133,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

83143,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5C, 0xC8, 0x00, 0x00, 0x00

83153,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4B, 0xC8, 0x00, 0x00, 0x00

83163,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x4D, 0xC8, 0x00, 0x00, 0x00



83166

Chargers connected

 ID 1 Found 



s - Menu







83173,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x45, 0xC8, 0x00, 0x00, 0x00

83176,0x304,false,8, 0x01, 0x16, 0xF1, 0xE2, 0xD3, 0xC4, 0xB5, 0xA6

83183,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3A, 0xC8, 0x00, 0x00, 0x00

83193,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x37, 0xC8, 0x00, 0x00, 0x00

83203,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3A, 0xC8, 0x00, 0x00, 0x00

83213,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3A, 0xC8, 0x00, 0x00, 0x00

83223,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x37, 0xC8, 0x00, 0x00, 0x00

83233,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x36, 0xC8, 0x00, 0x00, 0x00

83243,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3D, 0xC8, 0x00, 0x00, 0x00

83253,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x3B, 0xC8, 0x00, 0x00, 0x00

83263,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x47, 0xC8, 0x00, 0x00, 0x00

83273,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x50, 0xC8, 0x00, 0x00, 0x00

83283,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x58, 0xC8, 0x00, 0x00, 0x00

83293,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x5A, 0xC8, 0x00, 0x00, 0x00

83303,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

83313,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

83323,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

83333,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x60, 0xC8, 0x00, 0x00, 0x00

83343,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x62, 0xC8, 0x00, 0x00, 0x00

83353,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

83363,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x63, 0xC8, 0x00, 0x00, 0x00

83373,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

83382,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x69, 0xC8, 0x00, 0x00, 0x00

83393,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x61, 0xC8, 0x00, 0x00, 0x00

83402,0x3C2,false,8, 0x7F, 0xFF, 0xFE, 0x6B, 0xC8, 0x00, 0x00, 0x00

